model,type,size_b,sample_id,prompt_len,generated_len,mean_entropy,tail_entropy,rep_ratio,text
tiiuae/falcon-rw-1b,Base,1.0,0,372,48,1.924930940226962,1.4936090856790543,0.0," No, they are not. Ed Wood was an Italian-American who emigrated from the United States to Italy in the late 1920s, and became a successful film producer. Scott Derrickson was born to Caucasian parents in Ohio, the"
tiiuae/falcon-rw-1b,Base,1.0,1,375,48,2.9944579446455464,3.749312470356623,0.0," The movie features Ginger Rogers and Jimmy Stewart as Walt and Edie Sedgwick as Corliss, and Judy (as Judy Jetson) in a supporting role.. Lois Weber: The fictional character Nancy Easton, a character invented"
tiiuae/falcon-rw-1b,Base,1.0,2,497,48,2.568602904114717,2.200276498993238,0.0," The Animorphs: Like it seems every year, the Animorphs comes up with another book. Why this has become the most popular book series has been a mystery to the science-fiction community for the last 20 years, until recent"
tiiuae/falcon-rw-1b,Base,1.0,3,466,48,0.3768175082223024,0.2376879577835401,0.0," Esma Sultan (21 March 1873 – 7 May 1899) was an Ottoman princess, the daughter of Sultan Abdülaziz and his wife Gevheri Kadın, herself the daughter of Salih Bey Svat"
tiiuae/falcon-rw-1b,Base,1.0,4,314,48,2.893923916388303,2.2380258118112883,0.08888888888888889,"
Plagiarism: When I think about the city of New York, or how do you say, it's like... I can think of a lot of names, I can think of a lot of people, but I know there"
tiiuae/falcon-rw-1b,Base,1.0,5,411,48,2.9657512983928123,2.9743800361951194,0.0," History (band)
Question: Positivity is said to be... _________(here please describe positivity and evidences )
Note: The Pink Chair Positivity page will be upgraded soon. Stay tuned.
Organ"
tiiuae/falcon-rw-1b,Base,1.0,6,409,48,1.38313354267666,0.34536245155807893,0.0," Aladin (Arabic: سيلان ""son of or like son of"") also known as ঈনাসুল ফাতে�"
tiiuae/falcon-rw-1b,Base,1.0,7,394,48,2.6716011627140688,1.7699388164522436,0.0," The Lewiston-Aroostook arena can hold 6,000 people.

Sections of Acheroostook Valley of Maine.  The rivers of central Aroostook County are the Penobscot and"
tiiuae/falcon-rw-1b,Base,1.0,8,416,48,3.155410774052143,2.363790531953176,0.0," Annie Morton
Terry Richardson

Book : The Making of Madonna: All the Tour Photos
Maxim ""Madonna"" is an American magazine magazine started by American publishing company MAXIM. The title of the magazine is an alternative to the"
tiiuae/falcon-rw-1b,Base,1.0,9,375,48,3.8915248134483895,3.593242118755976,0.0," both...Definitely Local H, With for against Or
""For"": ""Was the Chinese government limited by the 1962 sino-American period of tension?""
""Against"": ""May a community pursue the interests of its residents in order"
tiiuae/falcon-rw-1b,Base,1.0,10,494,48,3.006677776109427,2.4813009997208915,0.0," (See the guidance on the source for definitions of these terms.) From time to time, Kansas University and KU-Lawrence students will be shown a video entitled ""Firestarter""; watch it for a minute or two and think about what"
tiiuae/falcon-rw-1b,Base,1.0,11,369,48,2.790159816732436,2.193233275786042,0.0," David Weissman
Cal Arden: Cal Arden is the 2018 memoir from the culinary consultant and restaurateur for Sean Penn and Jennifer Aniston's venture, Next.  The book was published on July 4, 2018 by William Morrow."
